timestamp,arrival,departure,name,link1tt,link2tt,link3tt,link4tt,origin,destination,arrival_orig
2013-03-09 13:00:00,2013-03-09 13:00:00,2013-03-09 15:30:00,1022,0,0,0,0,45,49,2013-03-09 13:00:00
2013-03-10 03:30:00,2013-03-10 03:30:00,2013-04-05 16:30:00,1024,0,0,0,0,47,67,2013-03-10 03:30:00
2013-04-06 09:00:00,2013-04-06 09:00:00,2013-04-25 01:00:00,1026,0,0,0,0,46,68,2013-04-06 09:00:00
2013-04-25 04:00:00,2013-04-25 04:00:00,2013-05-12 16:00:00,1028,0,0,0,0,56,73,2013-04-25 04:00:00
2013-06-22 16:30:00,2013-06-22 16:30:00,2013-06-23 03:00:00,1030,0,0,0,0,47,73,2013-06-22 16:30:00
2013-03-31 15:30:00,2013-03-31 15:30:00,2013-03-31 15:30:00,1031,0,0,0,0,51,51,2013-03-31 15:30:00
2013-04-02 16:00:00,2013-04-02 16:00:00,2013-03-10 15:00:00,1032,0,0,0,0,43,49,2013-04-02 16:00:00
2013-03-11 04:00:00,2013-03-11 04:00:00,2013-04-28 23:00:00,1034,0,0,0,0,4,64,2013-03-11 04:00:00
2013-04-29 15:30:00,2013-04-29 15:30:00,2013-04-29 19:00:00,1036,0,0,0,0,7,30,2013-04-29 15:30:00
2013-05-28 03:30:00,2013-05-28 03:30:00,2013-05-28 15:00:00,1038,0,0,0,0,5,70,2013-05-28 03:30:00
2013-01-19 01:00:00,2013-01-19 01:00:00,2013-02-03 03:00:00,1041,0,0,0,0,13,63,2013-01-19 01:00:00
2013-02-04 11:30:00,2013-02-04 11:30:00,2013-02-05 03:30:00,1043,0,0,0,0,13,45,2013-02-04 11:30:00
2013-02-12 22:30:00,2013-02-12 22:30:00,2013-02-13 21:00:00,1045,0,0,0,0,13,14,2013-02-12 22:30:00
2013-02-13 21:30:00,2013-02-13 21:30:00,2013-02-14 03:30:00,1047,0,0,0,0,13,14,2013-02-13 21:30:00
2013-02-14 21:00:00,2013-02-14 21:00:00,2013-02-16 03:30:00,1049,0,0,0,0,13,51,2013-02-14 21:00:00
2013-03-26 18:30:00,2013-03-26 18:30:00,2013-04-03 17:00:00,1051,0,0,0,0,14,69,2013-03-26 18:30:00
2013-04-04 23:00:00,2013-04-04 23:00:00,2013-04-05 03:30:00,1053,0,0,0,0,14,46,2013-04-04 23:00:00
2013-01-10 07:30:00,2013-01-10 07:30:00,2013-01-11 04:30:00,1056,0,0,0,0,1,65,2013-01-10 07:30:00
