"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"425144",1.5,270,15,1069,"71","19",0,0,0,0,"2066"
"595721",1,270,15,1509,"55","37",0,0,0,0,"2724"
"793261",1.5,270,6,2013,"74","29",0,0,0,0,"2586"
"1099412",1.5,270,15,2801,"65","26",0,0,0,0,"2338"
"1099413",1.5,270,6,2807,"74","36",0,0,0,0,"769"
"1215692",1.5,270,15,3107,"74","19",0,0,0,0,"2342"
"1258314",1.5,270,15,3218,"74","32",0,0,0,0,"2894"
"1339632",1.5,270,15,3427,"56","28",0,0,0,0,"2901"
"1386056",1.5,270,15,3541,"74","40",0,0,0,0,"2345"
