"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18115",4.5,90,15,18,"38","74",0,0,0,0,"742"
"25917",5.5,90,15,36,"37","73",0,0,0,0,"1843"
"37463",9,90,11,65,"10","74",0,0,0,0,"2352"
"56886",8.5,90,11,112,"28","74",0,0,0,0,"2403"
"76336",4,90,9,162,"5","74",0,0,0,0,"2808"
"91854",6.5,90,14,207,"22","74",0,0,0,0,"273"
"111212",5,90,15,254,"37","74",0,0,0,0,"2716"
"130722",6,90,5,304,"6","74",0,0,0,0,"2647"
"138560",6,90,15,329,"9","74",0,0,0,0,"1550"
"157980",11,90,6,372,"28","74",0,0,0,0,"1217"
"157981",11.5,90,15,373,"37","71",0,0,0,0,"1933"
"196685",5,90,15,470,"38","69",0,0,0,0,"2859"
"219988",4,90,3,532,"36","74",0,0,0,0,"2719"
"219989",4.5,90,15,535,"19","74",0,0,0,0,"2406"
"231549",6.5,90,15,567,"10","68",0,0,0,0,"526"
"239311",9,90,15,581,"2","74",0,0,0,0,"276"
"250942",5.5,90,15,615,"28","74",0,0,0,0,"1221"
"258661",5,90,13,631,"9","74",0,0,0,0,"2185"
"270284",4,90,15,662,"12","74",0,0,0,0,"2279"
"293478",9,90,15,723,"16","74",0,0,0,0,"2864"
"297337",8.5,90,15,738,"39","74",0,0,0,0,"1607"
"316694",4.5,90,4,782,"35","71",0,0,0,0,"1936"
"328325",6.5,90,15,819,"3","74",0,0,0,0,"1459"
"351551",7,90,14,878,"55","74",0,0,0,0,"1555"
"355454",5.5,90,13,883,"20","74",0,0,0,0,"2410"
"382428",4,90,15,951,"18","74",0,0,0,0,"1223"
"397936",5.5,90,15,998,"38","68",0,0,0,0,"751"
"409610",7,90,15,1024,"31","71",0,0,0,0,"2065"
"417390",3.5,90,7,1045,"49","74",0,0,0,0,"2291"
"417391",4.5,90,15,1048,"10","74",0,0,0,0,"2412"
"436810",6.5,90,15,1095,"56","71",0,0,0,0,"1942"
"436811",5.5,90,10,1096,"38","74",0,0,0,0,"2650"
"444533",6,90,15,1110,"20","74",0,0,0,0,"296"
"460059",3.5,90,12,1150,"32","74",0,0,0,0,"2817"
"475533",9,90,15,1190,"29","74",0,0,0,0,"1228"
"510676",5,90,15,1284,"22","74",0,0,0,0,"2876"
"510677",4.5,90,14,1285,"56","68",0,0,0,0,"2359"
"518408",7,90,15,1302,"9","74",0,0,0,0,"485"
"522304",7.5,90,4,1310,"14","74",0,0,0,0,"2721"
"529967",7,90,15,1335,"6","68",0,0,0,0,"298"
"541540",3.5,90,9,1360,"6","74",0,0,0,0,"371"
"584112",8,90,13,1479,"11","74",0,0,0,0,"2308"
"603432",14.5,90,15,1526,"29","74",0,0,0,0,"1235"
"607315",6,90,6,1530,"37","74",0,0,0,0,"2725"
"622788",7.5,90,15,1574,"3","68",0,0,0,0,"2819"
"634387",5.5,90,13,1603,"38","68",0,0,0,0,"2727"
"642149",5.5,90,15,1624,"8","74",0,0,0,0,"1237"
"649827",4.5,90,15,1647,"19","74",0,0,0,0,"2878"
"669216",4,90,12,1697,"37","74",0,0,0,0,"531"
"688712",5.5,90,15,1744,"14","74",0,0,0,0,"2361"
"715890",4.5,90,15,1810,"55","74",0,0,0,0,"2654"
"715891",6.5,90,11,1812,"34","74",0,0,0,0,"2880"
"762335",4.5,90,15,1936,"38","74",0,0,0,0,"2884"
"770058",6,90,9,1957,"37","74",0,0,0,0,"763"
"773964",7,90,6,1960,"2","70",0,0,0,0,"2113"
"781767",9,90,15,1983,"11","74",0,0,0,0,"1557"
"781769",6,90,15,1986,"29","74",0,0,0,0,"2585"
"801001",7.5,90,13,2033,"11","74",0,0,0,0,"302"
"808720",6,90,10,2054,"9","73",0,0,0,0,"2886"
"839581",6,90,12,2131,"29","74",0,0,0,0,"2420"
"843509",9.5,90,15,2149,"4","74",0,0,0,0,"1469"
"855166",7,90,15,2175,"25","74",0,0,0,0,"1242"
"874509",6.5,90,15,2222,"27","71",0,0,0,0,"1964"
"882220",8,90,15,2246,"32","73",0,0,0,0,"2329"
"893883",5.5,90,15,2272,"2","74",0,0,0,0,"2658"
"901669",4,90,15,2293,"35","74",0,0,0,0,"1244"
"940458",5,90,15,2391,"38","74",0,0,0,0,"1473"
"967575",5,90,14,2467,"38","74",0,0,0,0,"2423"
"986937",6,90,6,2511,"36","74",0,0,0,0,"2731"
"986939",6,90,15,2519,"6","71",0,0,0,0,"2189"
"994715",7,90,15,2532,"17","74",0,0,0,0,"2332"
"1006418",8,90,15,2561,"37","74",0,0,0,0,"287"
