"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"56885",3,270,15,110,"74","40",0,0,0,0,"2353"
"134626",2.5,270,15,315,"74","40",0,0,0,0,"2717"
"157982",2.5,270,15,377,"74","19",0,0,0,0,"2405"
"192819",2,270,4,465,"74","11",0,0,0,0,"1551"
"425144",3,270,15,1069,"71","19",0,0,0,0,"2066"
"448375",3,270,15,1127,"71","38",0,0,0,0,"1945"
"452268",5,270,14,1134,"74","13",0,0,0,0,"2874"
"467732",2,270,11,1173,"74","38",0,0,0,0,"2651"
"487222",2.5,270,15,1224,"74","19",0,0,0,0,"297"
"564829",2,270,4,1424,"74","15",0,0,0,0,"2722"
"793261",5,270,6,2013,"74","29",0,0,0,0,"2586"
"824132",2.5,270,15,2098,"74","29",0,0,0,0,"2829"
"932650",3,270,15,2375,"74","41",0,0,0,0,"2659"
"1099412",3,270,15,2801,"65","26",0,0,0,0,"2338"
"1099413",2,270,6,2807,"74","36",0,0,0,0,"769"
"1130525",2,270,9,2886,"74","28",0,0,0,0,"2430"
"1215692",3,270,15,3107,"74","19",0,0,0,0,"2342"
"1258314",3,270,15,3218,"74","32",0,0,0,0,"2894"
"1320220",2.5,270,15,3372,"74","37",0,0,0,0,"1259"
"1362843",3,270,15,3482,"71","38",0,0,0,0,"2437"
"1386056",5.5,270,15,3541,"74","40",0,0,0,0,"2345"
"1455855",2.5,270,15,3721,"74","29",0,0,0,0,"823"
"1475086",2.5,270,14,3777,"74","40",0,0,0,0,"2906"
"1591474",3,270,15,4074,"74","39",0,0,0,0,"395"
"1645650",2.5,270,13,4211,"74","16",0,0,0,0,"1380"
