"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1459668",270,3736,"25","6",3747,"1114",5.5
"146328",270,346,"74","28",364,"2648",9
"1467389",90,3759,"17","74",3814,"2438",27.5
"1471255",270,3765,"74","49",3776,"292",5.5
"1475086",270,3777,"74","40",3790,"2906",6.5
"1478988",270,3781,"74","59",3788,"1269",3.5
"1478989",90,3783,"9","62",3847,"2370",32
"1486744",90,3809,"40","74",3835,"2907",13
"1498285",90,3830,"11","74",3895,"1621",32.5
"1498286",270,3830,"37","14",3835,"1214",2.5
"1498287",270,3831,"74","38",3848,"542",8.5
"1498288",90,3834,"38","74",3895,"1274",30.5
"150233",270,356,"74","14",383,"746",13.5
"150234",270,359,"62","50",361,"910",1
"1513833",270,3878,"62","12",3898,"2375",10
"1525399",90,3901,"9","74",3951,"2741",25
"1525400",90,3903,"23","48",3923,"2850",10
"1525401",270,3905,"74","38",3919,"2440",7
"1529272",270,3913,"74","37",3928,"1275",7.5
"1529277",270,3918,"74","69",3919,"2908",0.5
"1533158",90,3920,"69","71",3921,"2909",0.5
"1533159",270,3920,"74","10",3951,"1626",15.5
"1533160",90,3925,"11","74",3974,"315",24.5
"1533161",270,3925,"71","38",3938,"2910",6.5
"1537042",90,3931,"28","33",3934,"1847",1.5
"1544803",90,3951,"38","66",4001,"2441",25
"1544805",90,3954,"38","74",4000,"2911",23
"1548702",90,3960,"73","74",3961,"2743",0.5
"1548704",90,3967,"65","71",3970,"2443",1.5
"1552586",90,3975,"68","74",3982,"2445",3.5
"1560332",270,3995,"74","38",4010,"2744",7.5
"1560333",270,3996,"66","59",3997,"869",0.5
"1564199",90,4001,"38","56",4013,"392",6
"1564201",270,4005,"74","38",4021,"316",8
"1564202",90,4008,"57","61",4011,"2237",1.5
"1568153",270,4012,"56","48",4013,"393",0.5
"1572034",90,4022,"48","74",4056,"394",17
"1572036",90,4029,"73","74",4031,"2913",1
"1575927",270,4030,"74","24",4050,"2914",10
"1579783",90,4048,"7","74",4105,"770",28.5
"157980",90,372,"28","74",450,"1217",39
"157981",90,373,"37","71",445,"1933",36
"157982",270,377,"74","19",402,"2405",12.5
"1583704",90,4051,"37","71",4101,"1967",25
"1583705",270,4053,"61","30",4063,"2238",5
"1583706",270,4056,"74","31",4075,"2446",9.5
"1587632",270,4068,"74","29",4088,"827",10
"1591473",90,4072,"18","62",4098,"933",13
"1591474",270,4074,"74","39",4089,"395",7.5
"1591474",270,4074,"74","39",4090,"395",8
"1595301",90,4089,"31","57",4113,"2447",12
"1599164",270,4092,"71","50",4103,"1970",5.5
"1606925",90,4113,"56","69",4128,"2449",7.5
"1606927",90,4116,"9","74",4221,"1561",52.5
"1606929",90,4119,"29","74",4173,"828",27
"1610775",90,4120,"20","30",4131,"1058",5.5
"1614681",90,4134,"68","74",4139,"2453",2.5
"1618600",90,4145,"11","28",4159,"2589",7
"1618601",270,4147,"74","30",4166,"777",9.5
"1626287",90,4167,"24","58",4205,"2915",19
"1634015",270,4180,"58","37",4184,"2916",2
"1637883",270,4197,"74","39",4208,"1564",5.5
"1641824",270,4207,"74","30",4226,"829",9.5
"1645650",270,4211,"74","16",4241,"1380",15
"1645651",90,4214,"9","74",4261,"1627",23.5
"1645652",90,4218,"37","53",4235,"2917",8.5
"1657253",270,4243,"53","29",4250,"2918",3.5
"1664994",90,4264,"30","34",4266,"830",1
"169634",90,401,"17","25",419,"1457",9
"169637",270,404,"71","3",431,"1934",13.5
"169638",90,405,"73","74",406,"2265",0.5
"169639",270,406,"74","44",418,"2266",6
"173516",270,414,"62","30",423,"2357",4.5
"177382",270,420,"25","11",426,"1458",3
"177383",90,423,"44","62",438,"2267",7.5
"177385",90,427,"65","66",428,"2002",0.5
"18114",270,15,"55","33",24,"2641",4.5
"18115",90,18,"38","74",48,"742",15
"181281",270,435,"74","12",458,"1043",11.5
"181282",270,439,"66","57",440,"2003",0.5
"192819",270,465,"74","11",489,"1551",12
"196685",90,470,"38","69",499,"2859",14.5
"196687",270,473,"29","9",478,"1150",2.5
"208371",90,505,"68","74",512,"2861",3.5
"216142",90,520,"15","36",545,"2812",12.5
"219988",90,532,"36","74",561,"2719",14.5
"219989",90,535,"19","74",584,"2406",24.5
"22061",270,25,"74","2",49,"524",12
"223845",270,546,"36","28",547,"2813",0.5
"227718",90,557,"61","74",571,"2273",7
"231549",90,567,"10","68",639,"526",36
"235430",270,570,"74","38",582,"2863",6
"239311",90,581,"2","74",703,"276",61
"250942",90,615,"28","74",650,"1221",17.5
"250943",270,615,"74","36",629,"2720",7
"254797",90,621,"67","74",627,"1857",3
"254799",270,627,"74","12",652,"2278",12.5
"254800",90,628,"11","33",649,"2156",10.5
"258661",90,631,"9","74",687,"2185",28
"25917",90,36,"37","73",75,"1843",19.5
"266419",90,650,"67","74",657,"528",3.5
"266421",90,656,"71","74",658,"2408",1
"270284",90,662,"12","74",709,"2279",23.5
"281840",270,698,"74","10",725,"529",13.5
"285731",270,706,"74","11",738,"279",16
"285732",90,709,"29","62",734,"617",12.5
"293478",90,723,"16","74",799,"2864",38
"293479",270,725,"74","39",738,"1606",6.5
"297335",270,735,"12","4",736,"1051",0.5
"297337",90,738,"39","74",799,"1607",30.5
"301194",270,747,"74","44",759,"2186",6
"305080",90,755,"61","74",772,"621",8.5
"305081",90,759,"37","59",778,"748",9.5
"308932",270,762,"74","29",782,"2349",10
"316694",90,782,"35","71",812,"1936",15
"316695",90,785,"5","28",803,"2814",9
"324402",270,802,"74","29",823,"1222",10.5
"324403",270,804,"74","61",806,"2280",1
"324404",90,806,"71","74",809,"2866",1.5
"328325",90,819,"3","74",899,"1459",40
"328326",270,819,"28","3",827,"2815",4
"332242",270,829,"62","3",846,"624",8.5
"336064",90,833,"67","74",840,"2062",3.5
"339947",90,847,"71","74",848,"2868",0.5
"339948",270,848,"74","20",874,"2409",13
"343830",270,850,"62","33",861,"2226",5.5
"343832",90,853,"15","26",863,"890",5
"343833",270,857,"26","21",858,"891",0.5
"347684",270,862,"62","55",863,"1554",0.5
"351551",90,878,"55","74",901,"1555",11.5
"351552",90,879,"3","8",882,"2816",1.5
"355454",90,883,"20","74",927,"2410",22
"363150",270,904,"74","3",933,"1460",14.5
"37463",90,65,"10","74",169,"2352",52
"37464",270,65,"37","9",75,"356",5
"374716",90,930,"61","74",948,"2289",9
"374717",270,930,"69","31",947,"2064",8.5
"382428",90,951,"18","74",997,"1223",23
"382429",270,951,"74","38",962,"750",5.5
"382430",90,958,"3","30",987,"2582",14.5
