"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18039",1,270,11,15,"55","11",0,0,0,0,"2244"
"180781",1.5,270,3,435,"74","12",0,0,0,0,"897"
"323952",1.5,270,6,802,"74","18",0,0,0,0,"1052"
"583192",1.5,270,15,1473,"74","29",0,0,0,0,"1062"
"648846",1,270,13,1644,"55","29",0,0,0,0,"1734"
"1342256",1.5,270,15,3434,"74","37",0,0,0,0,"2268"
"1454762",1.5,270,9,3721,"74","29",0,0,0,0,"705"
"1524790",1.5,270,4,3905,"74","38",0,0,0,0,"2084"
