"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"134351",2.5,270,15,315,"74","36",0,0,0,0,"2308"
"169079",3.5,270,15,406,"74","44",0,0,0,0,"1927"
"180781",2.5,270,3,435,"74","12",0,0,0,0,"897"
"323952",4,270,6,802,"74","18",0,0,0,0,"1052"
"362562",3,270,15,904,"74","3",0,0,0,0,"1245"
"451460",3,270,8,1134,"74","13",0,0,0,0,"2440"
"563795",2.5,270,15,1424,"74","15",0,0,0,0,"2312"
"583192",2.5,270,15,1473,"74","29",0,0,0,0,"1062"
"823186",3,270,15,2098,"74","29",0,0,0,0,"2402"
"908415",3,270,14,2313,"74","18",0,0,0,0,"2068"
"1036250",3,270,15,2640,"74","3",0,0,0,0,"243"
"1098334",3.5,270,15,2807,"74","7",0,0,0,0,"657"
"1121678",3,270,15,2865,"74","37",0,0,0,0,"1261"
"1199245",2.5,270,15,3067,"74","2",0,0,0,0,"2078"
"1230207",2.5,270,15,3148,"74","4",0,0,0,0,"1265"
"1342256",3,270,15,3434,"74","37",0,0,0,0,"2268"
"1454762",2,270,9,3721,"74","29",0,0,0,0,"705"
"1524790",2,270,4,3905,"74","38",0,0,0,0,"2084"
"1532555",3,270,12,3925,"71","38",0,0,0,0,"2472"
"1563629",3,270,15,4005,"74","37",0,0,0,0,"269"
