"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18035",5,90,14,18,"38","74",0,0,0,0,"636"
"25773",5,90,15,36,"37","73",0,0,0,0,"1555"
"37364",20,90,15,65,"10","74",0,0,0,0,"2008"
"56707",4.5,90,15,112,"28","74",0,0,0,0,"2051"
"64425",20.5,90,7,137,"23","69",0,0,0,0,"2427"
"76118",20,90,15,162,"5","74",0,0,0,0,"2387"
"83825",20.5,90,15,184,"19","74",0,0,0,0,"638"
"91523",21.5,90,15,207,"22","74",0,0,0,0,"230"
"110821",11.5,90,15,254,"37","74",0,0,0,0,"2307"
"130217",5.5,90,15,304,"6","74",0,0,0,0,"2249"
"138085",4.5,90,15,329,"9","74",0,0,0,0,"1317"
"157496",8,90,12,372,"28","74",0,0,0,0,"1049"
"157497",3.5,90,11,373,"37","71",0,0,0,0,"1634"
"165235",6.5,90,15,393,"28","74",0,0,0,0,"2251"
"165237",6,90,15,398,"14","74",0,0,0,0,"640"
"196214",7.5,90,15,470,"30","68",0,0,0,0,"2014"
"219398",7,90,15,532,"36","74",0,0,0,0,"2309"
"219399",4.5,90,15,535,"19","74",0,0,0,0,"2053"
"223330",6.5,90,15,543,"12","74",0,0,0,0,"1051"
"238751",7,90,15,581,"2","74",0,0,0,0,"232"
"258090",9,90,15,631,"9","74",0,0,0,0,"1852"
"269683",4,90,15,662,"12","74",0,0,0,0,"1940"
"292997",7,90,15,723,"16","74",0,0,0,0,"2431"
"296819",5.5,90,14,733,"10","74",0,0,0,0,"452"
"296822",7.5,90,13,738,"39","74",0,0,0,0,"1367"
"327719",4.5,90,15,819,"3","74",0,0,0,0,"1244"
"350902",4,90,15,878,"55","74",0,0,0,0,"1321"
"350903",5,90,15,879,"3","74",0,0,0,0,"2393"
"354755",4.5,90,15,883,"20","74",0,0,0,0,"2057"
"381784",5.5,90,12,951,"18","74",0,0,0,0,"1053"
"385753",5,90,15,968,"11","74",0,0,0,0,"250"
"397333",6.5,90,15,998,"38","68",0,0,0,0,"642"
"408907",7,90,5,1024,"6","74",0,0,0,0,"2199"
"408909",4.5,90,15,1027,"28","68",0,0,0,0,"1784"
"416698",6,90,15,1045,"49","74",0,0,0,0,"1952"
"416699",5.5,90,11,1048,"10","74",0,0,0,0,"2059"
"436073",7.5,90,4,1095,"56","71",0,0,0,0,"1642"
"455590",7,90,15,1147,"3","74",0,0,0,0,"383"
"475022",4,90,11,1190,"29","74",0,0,0,0,"1057"
"475024",6,90,15,1193,"13","74",0,0,0,0,"2441"
"517733",6.5,90,15,1302,"9","74",0,0,0,0,"414"
"521574",5,90,15,1310,"14","74",0,0,0,0,"2311"
"521575",4,90,4,1316,"13","74",0,0,0,0,"1061"
"529258",5.5,90,4,1335,"6","68",0,0,0,0,"252"
"540806",8.5,90,15,1360,"6","74",0,0,0,0,"317"
"583532",6,90,15,1479,"11","74",0,0,0,0,"1968"
"602817",4,90,15,1526,"29","74",0,0,0,0,"1063"
"606659",4.5,90,15,1530,"37","74",0,0,0,0,"2315"
"622227",6.5,90,15,1574,"3","68",0,0,0,0,"2395"
"633797",7,90,4,1603,"38","68",0,0,0,0,"2317"
"641558",8,90,15,1624,"8","74",0,0,0,0,"1065"
"649311",10,90,15,1647,"19","74",0,0,0,0,"2443"
"688117",6.5,90,15,1744,"14","74",0,0,0,0,"2016"
"699781",5.5,90,10,1775,"23","74",0,0,0,0,"2399"
"715340",7,90,15,1810,"55","74",0,0,0,0,"2255"
"715341",6.5,90,15,1812,"34","74",0,0,0,0,"2445"
"761768",8,90,15,1936,"38","74",0,0,0,0,"2449"
"769442",7,90,15,1957,"37","74",0,0,0,0,"652"
"773268",11,90,15,1960,"2","70",0,0,0,0,"1788"
"780921",11,90,10,1983,"11","74",0,0,0,0,"1323"
"800355",5.5,90,15,2033,"11","74",0,0,0,0,"256"
"808089",8,90,4,2054,"9","73",0,0,0,0,"2451"
"839041",4.5,90,15,2131,"29","74",0,0,0,0,"2067"
"842834",6.5,90,15,2149,"4","74",0,0,0,0,"1254"
"854397",6.5,90,12,2175,"25","74",0,0,0,0,"1069"
"873516",5,90,15,2222,"27","71",0,0,0,0,"1664"
"892820",16.5,90,15,2272,"2","74",0,0,0,0,"2259"
"892821",4,90,15,2275,"27","71",0,0,0,0,"1666"
"896662",3.5,90,4,2284,"2","74",0,0,0,0,"456"
"900498",5,90,15,2293,"35","74",0,0,0,0,"1071"
"919806",6.5,90,15,2344,"18","74",0,0,0,0,"2069"
"939143",16.5,90,11,2391,"38","74",0,0,0,0,"1258"
"966165",4.5,90,15,2464,"19","74",0,0,0,0,"656"
"973947",6,90,15,2488,"29","74",0,0,0,0,"1260"
"985564",4.5,90,15,2511,"36","74",0,0,0,0,"2321"
"985565",5.5,90,15,2519,"6","71",0,0,0,0,"1856"
"993266",6,90,12,2532,"17","74",0,0,0,0,"1990"
"1004774",5,90,15,2561,"37","74",0,0,0,0,"242"
"1020325",4.5,90,15,2608,"56","71",0,0,0,0,"1678"
"1020326",5.5,90,15,2609,"38","74",0,0,0,0,"1077"
"1078351",5.5,90,15,2753,"36","65",0,0,0,0,"1994"
"1086033",6.5,90,15,2774,"37","74",0,0,0,0,"2261"
"1086034",6.5,90,7,2778,"32","74",0,0,0,0,"2075"
"1097580",4,90,15,2800,"11","74",0,0,0,0,"327"
"1105297",5.5,90,12,2825,"26","74",0,0,0,0,"1996"
"1132444",6,90,15,2895,"29","74",0,0,0,0,"2325"
"1140146",5,90,13,2916,"28","74",0,0,0,0,"2077"
"1170942",7,90,15,2992,"11","74",0,0,0,0,"1377"
"1198081",7.5,90,15,3063,"16","74",0,0,0,0,"1264"
"1205800",8.5,90,10,3089,"37","74",0,0,0,0,"2455"
"1217420",13.5,90,15,3111,"11","74",0,0,0,0,"2263"
"1225185",12.5,90,15,3137,"9","74",0,0,0,0,"542"
"1244439",13.5,90,15,3180,"30","67",0,0,0,0,"2409"
"1252156",6.5,90,15,3208,"11","74",0,0,0,0,"1083"
"1263864",4,90,15,3234,"5","74",0,0,0,0,"2329"
"1271615",9,90,15,3255,"32","69",0,0,0,0,"2459"
"1279446",4.5,90,15,3278,"26","71",0,0,0,0,"1879"
"1310574",4.5,90,15,3353,"27","74",0,0,0,0,"2267"
"1325973",6,90,7,3397,"19","74",0,0,0,0,"2000"
"1364850",4.5,90,15,3497,"4","71",0,0,0,0,"1680"
"1384345",3.5,90,10,3541,"10","74",0,0,0,0,"1089"
"1388247",4.5,90,15,3557,"13","74",0,0,0,0,"458"
"1411348",6.5,90,15,3617,"7","71",0,0,0,0,"435"
"1419164",5.5,90,7,3639,"10","74",0,0,0,0,"2467"
"1430706",5,90,8,3665,"7","74",0,0,0,0,"268"
"1438477",4.5,90,6,3689,"37","74",0,0,0,0,"1093"
"1465552",4.5,90,15,3759,"17","74",0,0,0,0,"2083"
"1484838",9.5,90,15,3809,"40","74",0,0,0,0,"2469"
"1496484",4.5,90,9,3830,"11","74",0,0,0,0,"1379"
"1496487",5,90,15,3834,"38","74",0,0,0,0,"1099"
"1523698",4.5,90,15,3901,"9","74",0,0,0,0,"2331"
"1542973",4,90,11,3954,"38","74",0,0,0,0,"2473"
"1570185",4,90,15,4022,"48","74",0,0,0,0,"337"
"1577889",8,90,15,4048,"7","74",0,0,0,0,"658"
"1581770",5.5,90,11,4051,"13","74",0,0,0,0,"1103"
"1604986",4.5,90,15,4113,"56","69",0,0,0,0,"2093"
"1604988",5,90,6,4116,"9","74",0,0,0,0,"1327"
"1604990",6.5,90,15,4119,"29","74",0,0,0,0,"710"
"1616601",4,90,15,4145,"11","74",0,0,0,0,"2203"
"1643758",5,90,15,4214,"9","74",0,0,0,0,"1385"
