"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1430706",90,3665,"7","74",3726,"268",30.5
"1430707",270,3665,"31","11",3672,"1832",3.5
"1434609",270,3672,"57","37",3676,"1092",2
"1438475",90,3686,"11","62",3734,"1833",24
"1438476",270,3686,"37","12",3698,"1040",6
"1438477",90,3689,"37","74",3724,"1093",17.5
"1450063",270,3712,"32","11",3721,"2420",4.5
"1450065",90,3719,"67","74",3732,"246",6.5
"1453911",270,3721,"74","29",3748,"705",13.5
"1453912",270,3728,"74","19",3757,"334",14.5
"1457788",90,3733,"18","25",3740,"959",3.5
"1457789",90,3736,"11","48",3771,"2421",17.5
"1457790",270,3736,"25","6",3747,"960",5.5
"145858",270,346,"74","28",366,"2250",10
"1461656",90,3749,"6","28",3769,"961",10
"1465552",90,3759,"17","74",3814,"2083",27.5
"1469423",90,3762,"19","56",3809,"335",23.5
"1469424",270,3765,"74","49",3777,"247",6
"1473280",270,3777,"74","40",3787,"2468",5
"1477112",270,3781,"74","59",3787,"1094",3
"1477113",90,3783,"9","62",3814,"2024",15.5
"1480980",270,3795,"60","56",3796,"1096",0.5
"1484837",270,3805,"57","38",3808,"1098",1.5
"1484838",90,3809,"40","74",3870,"2469",30.5
"1496484",90,3830,"11","74",3889,"1379",29.5
"1496486",270,3831,"74","11",3854,"459",11.5
"1496487",90,3834,"38","74",3870,"1099",18
"149734",270,356,"74","14",379,"639",11.5
"149735",270,359,"62","29",371,"777",6
"1511982",270,3878,"62","12",3895,"2029",8.5
"1523698",90,3901,"9","74",3949,"2331",24
"1523700",90,3906,"12","61",3956,"2030",25
"1527566",270,3913,"74","37",3927,"1100",7
"1527571",270,3918,"74","69",3919,"2470",0.5
"1531402",90,3920,"69","71",3921,"2471",0.5
"1531403",270,3920,"74","9",3948,"1384",14
"1531404",270,3925,"71","38",3938,"2472",6.5
"1535270",90,3931,"28","33",3935,"1559",2
"1542971",90,3951,"9","35",3970,"2423",9.5
"1542972",270,3951,"33","29",3952,"1560",0.5
"1542973",90,3954,"38","74",3985,"2473",15.5
"1546810",90,3960,"73","74",3961,"2333",0.5
"1546812",90,3967,"65","71",3975,"2087",4
"1550719",90,3975,"68","74",3986,"2089",5.5
"1562401",90,4000,"59","66",4012,"745",6
"1562402",270,4004,"74","13",4027,"1102",11.5
"1562403",270,4005,"74","37",4023,"269",9
"1566254",270,4012,"56","48",4013,"336",0.5
"1570185",90,4022,"48","74",4042,"337",10
"1574073",270,4030,"74","24",4049,"2476",9.5
"157496",90,372,"28","74",436,"1049",32
"157497",90,373,"37","71",394,"1634",10.5
"157498",270,376,"29","15",379,"757",1.5
"157499",270,377,"74","19",403,"2052",13
"1577889",90,4048,"7","74",4156,"658",54
"1581770",90,4051,"13","74",4109,"1103",29
"1581771",270,4053,"61","6",4072,"1902",9.5
"1581772",270,4056,"74","31",4074,"2090",9
"1585603",270,4068,"74","29",4088,"709",10
"1589449",90,4072,"18","62",4134,"800",31
"1589450",270,4074,"74","39",4085,"338",5.5
"1593317",90,4089,"31","57",4129,"2091",20
"1597215",270,4092,"71","50",4105,"1669",6.5
"1604986",90,4113,"56","69",4125,"2093",6
"1604988",90,4116,"9","74",4173,"1327",28.5
"1604990",90,4119,"29","74",4171,"710",26
"1608821",90,4120,"20","30",4139,"910",9.5
"1612662",90,4134,"68","74",4140,"2097",3
"1616599",90,4144,"73","74",4145,"664",0.5
"1616600",270,4144,"62","23",4157,"811",6.5
"1616601",90,4145,"11","74",4196,"2203",25.5
"1616602",270,4147,"74","2",4179,"665",16
"1624348",90,4167,"24","58",4214,"2477",23.5
"1628221",90,4178,"73","74",4179,"1179",0.5
"1632092",270,4180,"58","37",4184,"2478",2
"1636015",270,4197,"74","39",4211,"1330",7
"1639911",270,4207,"74","30",4223,"711",8
"1643757",270,4211,"74","16",4236,"1180",12.5
"1643758",90,4214,"9","74",4277,"1385",31.5
"1643759",270,4217,"31","9",4225,"1761",4
"1643760",90,4218,"37","53",4230,"2479",6
"165235",90,393,"28","74",442,"2251",24.5
"165237",90,398,"14","74",460,"640",31
"1655391",90,4243,"39","60",4268,"1331",12.5
"1655392",270,4243,"53","29",4255,"2480",6
"1663134",90,4264,"30","34",4266,"712",1
"169143",90,401,"17","25",418,"1242",8.5
"169146",270,404,"71","3",433,"1635",14.5
"169148",270,406,"74","44",421,"1927",7.5
"172965",270,414,"62","30",429,"2013",7.5
"176856",270,420,"25","3",429,"1243",4.5
"176857",90,423,"44","62",440,"1928",8.5
"18034",270,15,"55","11",34,"2244",9.5
"18035",90,18,"38","74",51,"636",16.5
"18036",270,18,"29","6",27,"950",4.5
"180776",270,439,"66","57",440,"1698",0.5
"192403",270,465,"74","11",493,"1318",14
"196214",90,470,"30","68",523,"2014",26.5
"196215",270,473,"29","9",479,"988",3
"203966",90,496,"9","28",509,"989",6.5
"203967",90,499,"11","62",536,"1319",18.5
"207841",90,505,"68","74",512,"2429",3.5
"215572",90,520,"15","36",542,"2389",11
"21937",270,25,"74","2",66,"447",20.5
"219398",90,532,"36","74",584,"2309",26
"219399",90,535,"19","74",588,"2053",26.5
"223330",90,543,"12","74",628,"1051",42.5
"223331",270,546,"36","5",554,"2390",4
"227214",90,557,"61","74",570,"1934",6.5
"234900",270,570,"74","16",596,"2430",13
"238751",90,581,"2","74",677,"232",48
"250342",270,615,"74","14",638,"2310",11.5
"250344",90,617,"73","74",618,"1936",0.5
"254231",90,621,"67","74",630,"1569",4.5
"254232",90,625,"73","74",627,"1938",1
"254233",270,627,"74","12",662,"1939",17.5
"254234",90,628,"11","33",644,"1827",8
"25773",90,36,"37","73",73,"1555",18.5
"258090",90,631,"9","74",731,"1852",50
"261976",270,640,"33","15",644,"1828",2
"265803",90,650,"67","74",656,"450",3
"265805",90,656,"71","74",657,"2055",0.5
"269683",90,662,"12","74",711,"1940",24.5
"281394",270,698,"74","10",726,"451",14
"285250",270,706,"74","11",736,"235",15
"285251",90,709,"29","62",733,"520",12
"292997",90,723,"16","74",790,"2431",33.5
"292998",270,725,"74","39",738,"1366",6.5
"296819",90,733,"10","74",803,"452",35
"296820",270,735,"12","4",736,"905",0.5
"296822",90,738,"39","74",781,"1367",21.5
"300674",270,747,"74","10",776,"1853",14.5
"304530",90,755,"61","74",773,"524",9
"304531",90,759,"4","28",797,"906",19
"308432",270,762,"74","29",780,"2005",9
"308433",270,765,"74","61",767,"525",1
"316099",90,785,"5","28",800,"2391",7.5
"323796",270,802,"74","18",819,"1052",8.5
"323797",270,804,"74","61",806,"1941",1
"323798",90,806,"71","74",808,"2433",1
"327719",90,819,"3","74",868,"1244",24.5
"327720",270,819,"28","3",826,"2392",3.5
"331611",90,825,"61","62",826,"1942",0.5
"331612",270,825,"71","13",848,"1637",11.5
"331615",90,829,"61","62",830,"1944",0.5
"331616",270,829,"62","3",846,"527",8.5
"335433",90,833,"67","74",840,"1752",3.5
"335434",270,839,"74","31",857,"1753",9
"339297",90,847,"71","74",849,"2435",1
"339298",270,848,"74","20",869,"2056",10.5
"339299",90,849,"61","62",850,"1946",0.5
"343175",270,850,"62","12",870,"1892",10
"343177",90,853,"15","26",867,"758",7
"343178",270,857,"26","21",858,"759",0.5
"347034",270,862,"62","55",863,"1320",0.5
"347036",90,866,"3","62",936,"528",35
"350902",90,878,"55","74",892,"1321",7
"350903",90,879,"3","74",942,"2393",31.5
"354755",90,883,"20","74",925,"2057",21
"362496",270,904,"74","3",932,"1245",14
"37364",90,65,"10","74",323,"2008",129
"37365",270,65,"37","9",75,"302",5
"374097",90,930,"61","74",946,"1950",8
"374098",270,930,"74","11",957,"1322",13.5
"381784",90,951,"18","74",1014,"1053",31.5
"381785",270,951,"74","38",964,"641",6.5
"381786",90,958,"3","30",979,"2197",10.5
"385752",90,962,"15","37",976,"311",7
"385753",90,968,"11","74",1033,"250",32.5
"389599",270,974,"62","56",975,"1781",0.5
"389600",90,976,"56","58",977,"1782",0.5
"389601",270,977,"58","28",988,"1783",5.5
"393432",270,987,"74","10",1026,"2058",19.5
"397333",90,998,"38","68",1028,"642",15
"397334",270,998,"30","6",1005,"2198",3.5
"401190",90,1008,"3","32",1035,"1246",13.5
"408907",90,1024,"6","74",1118,"2199",47
"408908",270,1024,"32","7",1036,"1247",6
"408909",90,1027,"28","68",1058,"1784",15.5
"41241",270,74,"74","22",91,"229",8.5
"41242",270,76,"74","39",91,"1915",7.5
"412786",90,1030,"73","74",1031,"1055",0.5
"412787",270,1036,"74","49",1047,"1951",5.5
"416698",90,1045,"49","74",1069,"1952",12
"416699",90,1048,"10","74",1108,"2059",30
"420545",90,1057,"7","13",1060,"1248",1.5
"424432",90,1069,"71","74",1070,"2437",0.5
"424433",270,1069,"71","19",1088,"1755",9.5
"436073",90,1095,"56","71",1118,"1642",11.5
"436074",270,1097,"74","3",1119,"382",11
"443916",90,1117,"73","74",1118,"646",0.5
"447790",90,1125,"69","71",1126,"1644",0.5
"447791",270,1127,"71","10",1153,"1645",13
"447792",270,1128,"74","5",1162,"649",17
"45128",90,86,"13","20",104,"213",9
"45129",270,88,"73","5",121,"1556",16.5
"451678",270,1133,"74","29",1157,"1056",12
"455590",90,1147,"3","74",1231,"383",42
"475022",90,1190,"29","74",1221,"1057",15.5
"475023",270,1190,"28","11",1197,"907",3.5
"475024",90,1193,"13","74",1270,"2441",38.5
"475025",90,1196,"5","57",1247,"650",25.5
"475026",270,1197,"74","61",1199,"1953",1
"478877",90,1206,"11","29",1221,"908",7.5
"478878",90,1208,"61","62",1210,"1954",1
"482769",270,1210,"62","22",1221,"529",5.5
"486659",270,1224,"74","6",1257,"251",16.5
"49005",270,98,"74","23",120,"2426",11
"490556",90,1237,"19","48",1256,"1756",9.5
"502242",270,1263,"48","8",1281,"1757",9
"506135",90,1274,"61","62",1275,"1960",0.5
"517733",90,1302,"9","74",1384,"414",41
"521574",90,1310,"14","74",1368,"2311",29
"521575",90,1316,"13","74",1374,"1061",29
"525422",270,1321,"74","3",1350,"2394",14.5
"529258",90,1335,"6","68",1393,"252",29
"540806",90,1360,"6","74",1468,"317",54
"544668",90,1375,"61","62",1376,"1964",0.5
"544669",270,1377,"62","30",1389,"1965",6
"548555",270,1382,"20","9",1384,"876",1
"556377",90,1405,"67","74",1412,"254",3.5
"556378",90,1408,"30","62",1447,"1966",19.5
"564149",270,1424,"74","15",1441,"2312",8.5
"56706",270,110,"74","17",130,"2009",10
"56707",90,112,"28","74",158,"2051",23
"56708",270,112,"20","8",114,"214",1
"568041",90,1432,"28","31",1434,"1729",1
"568042",270,1432,"74","17",1453,"318",10.5
"571923",270,1441,"74","18",1465,"415",12
"571923",270,1441,"74","18",1466,"415",12.5
"575839",90,1455,"15","55",1507,"2313",26
"579675",270,1467,"62","11",1488,"1967",10.5
"583531",270,1473,"74","29",1493,"1062",10
"583532",90,1479,"11","74",1546,"1968",33.5
"591168",90,1490,"5","23",1501,"136",5.5
"595014",90,1505,"9","20",1513,"877",4
"595015",270,1505,"31","19",1507,"1730",1
"595016",270,1509,"55","37",1513,"2314",2
"602817",90,1526,"29","74",1565,"1063",19.5
"602818",90,1527,"19","22",1530,"1731",1.5
"606659",90,1530,"37","74",1560,"2315",15
"622226",270,1573,"22","11",1577,"1732",2
"622227",90,1574,"3","68",1646,"2395",36
"626083",270,1589,"74","8",1616,"1064",13.5
"629914",270,1590,"74","38",1609,"2316",9.5
"629916",270,1599,"20","6",1602,"878",1.5
"633797",90,1603,"38","68",1636,"2317",16.5
"633799",90,1609,"61","62",1610,"782",0.5
"637690",270,1616,"71","38",1626,"1647",5
"637691",270,1617,"74","19",1639,"2442",11
"641557",90,1621,"11","55",1661,"1733",20
"641558",90,1624,"8","74",1716,"1065",46
"64425",90,137,"23","69",303,"2427",83
"645416",90,1636,"67","74",1642,"2397",3
"645417",270,1639,"62","30",1650,"1894",5.5
"649309",90,1641,"67","74",1647,"2319",3
"649310",270,1644,"55","29",1662,"1734",9
"649311",90,1647,"19","74",1723,"2443",38
"653157",90,1650,"29","33",1652,"1735",1
"660888",90,1671,"30","62",1696,"1895",12.5
"664773",90,1688,"67","74",1695,"1786",3.5
"668664",270,1691,"74","36",1710,"2320",9.5
"668665",90,1692,"61","62",1693,"786",0.5
"676437",270,1717,"74","23",1741,"2398",12
"676438",90,1718,"2","31",1756,"1561",19
"68311",270,144,"74","19",161,"637",8.5
"684239",90,1731,"61","62",1732,"798",0.5
"684240",270,1731,"74","4",1764,"384",16.5
"684241",270,1736,"62","18",1749,"799",6.5
"688117",90,1744,"14","74",1815,"2016",35.5
"688118",270,1744,"31","17",1747,"1562",1.5
"695881",270,1764,"57","37",1768,"651",2
"695882",90,1765,"14","57",1834,"2253",34.5
"695883",270,1765,"74","50",1773,"1969",4
"699780",270,1771,"74","32",1793,"453",11
"699781",90,1775,"23","74",1828,"2399",26.5
"703662",90,1782,"50","62",1788,"1970",3
"703663",270,1785,"74","11",1814,"239",14.5
"707559",90,1791,"15","29",1807,"1829",8
"711456",270,1803,"74","6",1833,"1066",15
"715340",90,1810,"55","74",1833,"2255",11.5
"715341",90,1812,"34","74",1858,"2445",23
"715342",90,1816,"6","25",1838,"951",11
"715343",270,1816,"29","8",1823,"1830",3.5
"719186",270,1828,"74","2",1850,"1787",11
"72202",90,159,"29","32",162,"1723",1.5
"723098",90,1830,"61","74",1845,"1976",7.5
"723099",270,1838,"74","8",1867,"2060",14.5
"726970",90,1841,"10","30",1855,"1854",7
"734733",270,1862,"74","61",1868,"2017",3
"734734",90,1863,"5","31",1894,"1557",15.5
"734735",270,1863,"30","6",1872,"1855",4.5
"738551",90,1876,"61","62",1878,"1978",1
"742407",270,1880,"74","38",1894,"2448",7
"742409",270,1884,"74","31",1905,"1251",10.5
"742411",90,1889,"3","28",1912,"1547",11.5
"742412",270,1889,"74","2",1928,"2258",19.5
"754043",90,1910,"8","48",1955,"2061",22.5
"754045",90,1913,"13","61",1971,"2022",29
"754046",270,1913,"26","10",1919,"956",3
"76118",90,162,"5","74",317,"2387",77.5
"76119",270,163,"32","28",164,"1724",0.5
"761767",270,1935,"74","18",1961,"386",13
"761768",90,1936,"38","74",1995,"2449",29.5
"761769",270,1936,"48","17",1948,"2062",6
"765616",270,1942,"62","29",1969,"1983",13.5
"769442",90,1957,"37","74",2010,"652",26.5
"780920",270,1980,"74","4",2003,"1253",11.5
"780921",90,1983,"11","74",2076,"1323",46.5
"780922",270,1983,"13","2",1985,"1659",1
"780923",90,1986,"7","37",2012,"1039",13
"788764",270,2008,"74","5",2034,"653",13
"792650",270,2013,"74","3",2046,"2200",16.5
"796472",90,2027,"70","74",2029,"2401",1
"800354",270,2030,"74","37",2045,"241",7.5
"800355",90,2033,"11","74",2098,"256",32.5
"800356",270,2034,"74","9",2067,"2450",16.5
"800358",270,2037,"68","56",2039,"1791",1
"804189",90,2045,"56","58",2047,"1792",1
"804191",270,2047,"58","19",2057,"1793",5
"808089",90,2054,"9","73",2133,"2451",39.5
"808090",270,2054,"24","19",2055,"141",0.5
"811936",270,2061,"74","56",2068,"320",3.5
"815787",90,2071,"56","57",2072,"321",0.5
"815789",270,2075,"57","3",2100,"324",12.5
"819600",90,2080,"17","23",2083,"2063",1.5
"819601",270,2082,"74","9",2111,"1326",14.5
"819602",270,2083,"23","2",2094,"2064",5.5
"823565",270,2098,"74","29",2113,"2402",7.5
"827452",90,2102,"8","41",2132,"1758",15
"827453",270,2102,"29","20",2103,"909",0.5
"827455",90,2105,"2","30",2127,"2065",11
