"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18035",3,90,14,18,"38","74",0,0,0,0,"636"
"25773",4,90,15,36,"37","73",0,0,0,0,"1555"
"37364",19,90,15,65,"10","74",0,0,0,0,"2008"
"56707",4,90,15,112,"28","74",0,0,0,0,"2051"
"64425",19,90,7,137,"23","69",0,0,0,0,"2427"
"76118",20,90,15,162,"5","74",0,0,0,0,"2387"
"83825",17,90,15,184,"19","74",0,0,0,0,"638"
"91523",12,90,15,207,"22","74",0,0,0,0,"230"
"95345",6,90,15,210,"19","62",0,0,0,0,"770"
"110821",5.5,90,15,254,"37","74",0,0,0,0,"2307"
"130217",3.5,90,15,304,"6","74",0,0,0,0,"2249"
"138083",2.5,90,15,325,"17","62",0,0,0,0,"2010"
"138085",2.5,90,15,329,"9","74",0,0,0,0,"1317"
"157496",6.5,90,12,372,"28","74",0,0,0,0,"1049"
"157497",3,90,11,373,"37","71",0,0,0,0,"1634"
"165235",4,90,15,393,"28","74",0,0,0,0,"2251"
"165237",3.5,90,15,398,"14","74",0,0,0,0,"640"
"176857",5,90,15,423,"44","62",0,0,0,0,"1928"
"196214",6.5,90,15,470,"30","68",0,0,0,0,"2014"
"203967",2.5,90,15,499,"11","62",0,0,0,0,"1319"
"219398",4.5,90,15,532,"36","74",0,0,0,0,"2309"
"219399",3.5,90,15,535,"19","74",0,0,0,0,"2053"
"223330",6,90,15,543,"12","74",0,0,0,0,"1051"
"238751",5.5,90,15,581,"2","74",0,0,0,0,"232"
"258090",6.5,90,15,631,"9","74",0,0,0,0,"1852"
"269683",3,90,15,662,"12","74",0,0,0,0,"1940"
"285251",3.5,90,13,709,"29","62",0,0,0,0,"520"
"292997",4.5,90,15,723,"16","74",0,0,0,0,"2431"
"296819",4.5,90,14,733,"10","74",0,0,0,0,"452"
"296822",3.5,90,13,738,"39","74",0,0,0,0,"1367"
"327719",2.5,90,15,819,"3","74",0,0,0,0,"1244"
"347036",5,90,4,866,"3","62",0,0,0,0,"528"
"350903",3.5,90,15,879,"3","74",0,0,0,0,"2393"
"354755",2.5,90,15,883,"20","74",0,0,0,0,"2057"
