"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1423806",270,3642,"74","56",3649,"1090",3.5
"1431497",90,3665,"7","74",3752,"268",43.5
"1431498",270,3665,"31","11",3673,"1832",4
"1431499",90,3669,"56","57",3670,"1091",0.5
"1439226",90,3686,"11","62",3752,"1833",33
"1439227",270,3686,"37","12",3693,"1040",3.5
"1439228",90,3689,"37","74",3726,"1093",18.5
"1450874",270,3712,"32","11",3721,"2420",4.5
"1450876",90,3719,"67","74",3731,"246",6
"1454762",270,3721,"74","29",3743,"705",11
"1454763",270,3728,"74","19",3751,"334",11.5
"145854",270,346,"74","28",691,"2250",172.5
"1458674",90,3733,"18","25",3741,"959",4
"1458675",90,3736,"11","48",3766,"2421",15
"1458676",270,3736,"25","6",3745,"960",4.5
"1462637",90,3749,"6","28",3767,"961",9
"1466513",90,3759,"17","74",3808,"2083",24.5
"1470369",90,3762,"19","56",3824,"335",31
"1470370",270,3765,"74","49",3773,"247",4
"1474211",270,3777,"74","40",3791,"2468",7
"1478028",270,3781,"74","59",3787,"1094",3
"1478028",270,3781,"74","59",3788,"1094",3.5
"1478029",90,3783,"9","62",3884,"2024",50.5
"1485948",270,3805,"57","38",3809,"1098",2
"1485949",90,3809,"40","74",3865,"2469",28
"149746",270,359,"62","29",695,"777",168
"1497600",90,3830,"11","74",3903,"1379",36.5
"1497601",270,3830,"37","14",3834,"1046",2
"1497602",270,3831,"74","11",3856,"459",12.5
"1497603",90,3834,"38","74",3888,"1099",27
"1524789",90,3901,"9","74",3944,"2331",21.5
"1524790",270,3905,"74","38",3917,"2084",6
"1524791",90,3906,"12","61",3955,"2030",24.5
"1528647",270,3913,"74","37",3924,"1100",5.5
"1528652",270,3918,"74","69",3919,"2470",0.5
"1532553",90,3920,"69","71",3921,"2471",0.5
"1532554",270,3920,"74","9",3947,"1384",13.5
"1532555",270,3925,"71","38",3938,"2472",6.5
"1536421",90,3931,"28","33",3934,"1559",1.5
"1544182",90,3951,"9","35",3974,"2423",11.5
"1544184",90,3954,"38","74",3986,"2473",16
"1548098",90,3967,"65","71",3970,"2087",1.5
"1552025",90,3975,"68","74",3981,"2089",3
"1563627",90,4000,"59","66",4013,"745",6.5
"1567515",270,4012,"56","48",4014,"336",1
"1571401",90,4022,"48","74",4049,"337",13.5
"157392",90,372,"28","74",743,"1049",185.5
"157393",90,373,"37","71",740,"1634",183.5
"157394",270,376,"29","15",378,"757",1
"157395",270,377,"74","19",719,"2052",171
"1575309",270,4030,"74","24",4049,"2476",9.5
"1579180",90,4048,"7","74",4116,"658",34
"1583051",90,4051,"13","74",4104,"1103",26.5
"1583052",270,4053,"61","6",4073,"1902",10
"1583053",270,4056,"74","31",4075,"2090",9.5
"1586974",270,4068,"74","29",4085,"709",8.5
"1590865",90,4072,"18","62",4101,"800",14.5
"1590866",270,4074,"74","39",4084,"338",5
"1594723",90,4089,"31","57",4181,"2091",46
"1598581",270,4092,"71","50",4104,"1669",6
"1606292",90,4113,"56","69",4128,"2093",7.5
"1606294",90,4116,"9","74",4201,"1327",42.5
"1606296",90,4119,"29","74",4162,"710",21.5
"1610152",90,4120,"20","30",4132,"910",6
"1614078",90,4134,"68","74",4139,"2097",2.5
"1617986",270,4144,"62","23",4155,"811",5.5
"1617987",90,4145,"11","74",4262,"2203",58.5
"1617988",270,4147,"74","2",4182,"665",17.5
"1625714",90,4167,"24","58",4212,"2477",22.5
"1633398",270,4180,"58","37",4184,"2478",2
"1637256",270,4197,"74","39",4210,"1330",6.5
"1641177",270,4207,"74","30",4222,"711",7.5
"1645038",270,4211,"74","16",4237,"1180",13
"1645039",90,4214,"9","74",4266,"1385",26
"1645040",270,4217,"31","9",4224,"1761",3.5
"1645041",90,4218,"37","53",4230,"2479",6
"165221",90,393,"28","74",746,"2251",176.5
"165223",90,398,"14","74",752,"640",177
"1656552",90,4243,"39","60",4259,"1331",8
"1656553",270,4243,"53","29",4249,"2480",3
"1664279",90,4261,"29","74",4293,"2481",16
"1664280",90,4264,"30","34",4269,"712",2.5
"169074",90,401,"17","25",414,"1242",6.5
"169076",90,402,"19","20",403,"1007",0.5
"169077",270,404,"71","3",740,"1635",168
"169079",270,406,"74","44",422,"1927",8
"172986",270,414,"62","30",734,"2013",160
"176877",270,420,"25","3",428,"1243",4
"176878",90,423,"44","62",434,"1928",5.5
"18039",270,15,"55","11",29,"2244",7
"18040",90,18,"38","74",51,"636",16.5
"18041",270,18,"29","6",26,"950",4
"180781",270,435,"74","12",747,"897",156
"180782",270,439,"66","57",440,"1698",0.5
"192454",270,465,"74","11",750,"1318",142.5
"196330",90,470,"30","68",771,"2014",150.5
