"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"41221",2.5,270,15,76,"74","39",0,0,0,0,"2253"
"48924",4.5,270,7,98,"74","23",0,0,0,0,"2857"
"68244",2.5,270,15,144,"74","19",0,0,0,0,"743"
"145599",167,270,4,346,"74","28",0,0,0,0,"2648"
"168853",148.5,270,14,404,"71","3",0,0,0,0,"1934"
"172747",150,270,15,414,"62","30",0,0,0,0,"2357"
"180477",137.5,270,3,435,"74","12",0,0,0,0,"1043"
"281306",39.5,270,15,698,"74","10",0,0,0,0,"529"
"308328",20,270,15,762,"74","29",0,0,0,0,"2349"
"323898",7.5,270,15,802,"74","29",0,0,0,0,"1222"
"362516",3,270,15,904,"74","3",0,0,0,0,"1460"
"389575",2,270,9,977,"58","28",0,0,0,0,"2106"
"393496",1.5,270,8,987,"74","10",0,0,0,0,"2411"
"451483",2.5,270,15,1133,"74","29",0,0,0,0,"1227"
"466903",1.5,270,11,1173,"74","38",0,0,0,0,"2651"
"544312",2.5,270,15,1370,"68","40",0,0,0,0,"2360"
"567548",2.5,270,15,1432,"74","37",0,0,0,0,"372"
"629321",2,270,12,1590,"74","38",0,0,0,0,"2726"
"668184",2,270,11,1691,"74","36",0,0,0,0,"2730"
"718616",3,270,15,1828,"74","13",0,0,0,0,"2112"
"722509",3,270,11,1838,"74","8",0,0,0,0,"2413"
"741807",5,270,15,1889,"74","23",0,0,0,0,"2657"
"788376",2.5,270,15,2008,"74","12",0,0,0,0,"764"
"800023",2.5,270,15,2034,"74","9",0,0,0,0,"2885"
"819418",2.5,270,14,2082,"74","25",0,0,0,0,"1560"
"823368",2.5,270,15,2098,"74","29",0,0,0,0,"2829"
"827204",1.5,270,11,2101,"62","37",0,0,0,0,"2326"
"827208",2.5,270,15,2107,"74","25",0,0,0,0,"1241"
"846476",2.5,270,15,2154,"74","37",0,0,0,0,"303"
"869614",2.5,270,15,2211,"74","12",0,0,0,0,"1470"
"908336",2.5,270,15,2313,"74","18",0,0,0,0,"2421"
"950767",2.5,270,15,2425,"74","19",0,0,0,0,"766"
"1001012",3.5,270,15,2552,"74","38",0,0,0,0,"1250"
"1012553",1.5,270,10,2583,"74","24",0,0,0,0,"305"
"1043636",2.5,270,15,2662,"74","16",0,0,0,0,"2426"
"1066770",3,270,15,2724,"74","38",0,0,0,0,"1253"
"1097934",2.5,270,15,2807,"74","36",0,0,0,0,"769"
"1101780",2.5,270,15,2816,"74","37",0,0,0,0,"2661"
"1128881",2,270,3,2886,"74","28",0,0,0,0,"2430"
"1132732",2,270,8,2892,"74","37",0,0,0,0,"383"
"1198373",2,270,11,3066,"61","37",0,0,0,0,"2889"
"1198374",3,270,14,3067,"74","38",0,0,0,0,"2433"
"1233222",4.5,270,4,3156,"74","11",0,0,0,0,"1257"
"1279731",3,270,15,3278,"71","38",0,0,0,0,"2846"
"1299155",2.5,270,15,3322,"74","35",0,0,0,0,"2740"
"1372822",3.5,270,15,3519,"74","13",0,0,0,0,"538"
"1384427",1.5,270,9,3541,"74","40",0,0,0,0,"2345"
"1403837",1.5,270,11,3592,"72","7",0,0,0,0,"313"
"1434924",3,270,15,3672,"57","37",0,0,0,0,"1267"
"1485324",4,270,4,3805,"57","38",0,0,0,0,"1273"
"1497073",1.5,270,12,3831,"74","38",0,0,0,0,"542"
"1524167",3.5,270,15,3905,"74","38",0,0,0,0,"2440"
"1528063",2.5,270,15,3913,"74","37",0,0,0,0,"1275"
"1531955",4.5,270,15,3920,"74","10",0,0,0,0,"1626"
"1582377",1.5,270,11,4056,"74","31",0,0,0,0,"2446"
"1586253",2,270,12,4068,"74","29",0,0,0,0,"827"
"1617252",1.5,270,12,4147,"74","30",0,0,0,0,"777"
"1636649",2.5,270,15,4197,"74","39",0,0,0,0,"1564"
"1644406",6,270,15,4211,"74","16",0,0,0,0,"1380"
"1656034",1.5,270,12,4243,"53","29",0,0,0,0,"2918"
