"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"21896",1,270,15,25,"74","2",0,0,0,0,"524"
"37334",1,270,15,65,"37","9",0,0,0,0,"356"
"157263",1,270,5,377,"74","19",0,0,0,0,"2405"
"192035",1,270,15,465,"74","11",0,0,0,0,"1551"
"285157",1,270,15,706,"74","11",0,0,0,0,"279"
"331658",1,270,12,829,"62","3",0,0,0,0,"624"
"424475",1,270,15,1069,"71","19",0,0,0,0,"2066"
"447682",1,270,15,1128,"74","5",0,0,0,0,"759"
"451484",1,270,15,1134,"74","13",0,0,0,0,"2874"
"501656",1,270,15,1263,"48","28",0,0,0,0,"2068"
"571444",1,270,14,1441,"74","18",0,0,0,0,"486"
"625465",1,270,15,1589,"74","8",0,0,0,0,"1236"
"675983",1,270,6,1717,"74","23",0,0,0,0,"2822"
"683681",1,270,6,1731,"74","4",0,0,0,0,"450"
"827208",1.5,270,15,2107,"74","25",0,0,0,0,"1241"
"881250",1,270,15,2240,"74","2",0,0,0,0,"534"
"1028118",1,270,15,2626,"71","7",0,0,0,0,"1980"
"1035839",1,270,11,2640,"74","12",0,0,0,0,"288"
"1097933",1,270,15,2801,"65","26",0,0,0,0,"2338"
"1159826",1,270,15,2965,"74","26",0,0,0,0,"1479"
"1213833",1,270,6,3107,"74","19",0,0,0,0,"2342"
"1337938",1,270,12,3427,"56","28",0,0,0,0,"2901"
"1353405",1,270,15,3467,"74","10",0,0,0,0,"1263"
"1392149",1,270,14,3568,"61","10",0,0,0,0,"2903"
"1438796",1,270,15,3686,"37","12",0,0,0,0,"1208"
"1497072",1,270,11,3830,"37","14",0,0,0,0,"1214"
"1512599",1,270,11,3878,"62","12",0,0,0,0,"2375"
"1574623",1,270,15,4030,"74","24",0,0,0,0,"2914"
