"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1450378",270,3712,"32","11",3720,"2848",4
"1450380",90,3719,"67","74",3735,"291",8
"1454216",270,3721,"74","29",3746,"823",12.5
"1454217",270,3728,"74","19",3757,"390",14.5
"145599",270,346,"74","28",693,"2648",173.5
"1458113",90,3733,"18","25",3745,"1113",6
"1458114",270,3736,"25","6",3750,"1114",7
"1465880",90,3759,"17","74",3814,"2438",27.5
"1469746",270,3765,"74","49",3775,"292",5
"1473622",270,3777,"74","40",3792,"2906",7.5
"1477484",270,3781,"74","59",3788,"1269",3.5
"1477484",270,3781,"74","59",3789,"1269",4
"1477485",90,3783,"9","62",3822,"2370",19.5
"1485324",270,3805,"57","38",3809,"1273",2
"1485325",90,3809,"40","74",3848,"2907",19.5
"149470",270,359,"62","50",362,"910",1.5
"1497071",90,3830,"11","74",3896,"1621",33
"1497073",270,3831,"74","38",3845,"542",7
"1497074",90,3834,"38","74",3876,"1274",21
"1512598",90,3877,"61","62",3878,"2374",0.5
"1524165",90,3901,"9","74",3963,"2741",31
"1524166",90,3903,"23","48",3923,"2850",10
"1524167",270,3905,"74","38",3920,"2440",7.5
"1528063",270,3913,"74","37",3928,"1275",7.5
"1528065",90,3915,"73","74",3917,"1623",1
"1528067",90,3917,"73","74",3918,"1625",0.5
"1528068",270,3918,"74","69",3919,"2908",0.5
"1531954",90,3920,"69","71",3921,"2909",0.5
"1531955",270,3920,"74","10",3952,"1626",16
"1531956",90,3925,"11","74",4023,"315",49
"1531957",270,3925,"71","38",3937,"2910",6
"1535838",90,3931,"28","33",3933,"1847",1
"1543654",90,3951,"38","66",3977,"2441",13
"1543655",270,3951,"33","29",3952,"1848",0.5
"1543656",90,3954,"38","74",3992,"2911",19
"1547540",90,3967,"65","71",3971,"2443",2
"1551387",90,3975,"68","74",3980,"2445",2.5
"1559088",270,3995,"74","38",4014,"2744",9.5
"1559089",270,3996,"66","59",3997,"869",0.5
"1562935",90,4001,"38","56",4019,"392",9
"1562937",270,4005,"74","38",4024,"316",9.5
"1562938",90,4008,"57","61",4010,"2237",1
"1566759",270,4012,"56","48",4013,"393",0.5
"1570705",90,4022,"48","74",4039,"394",8.5
"157261",90,372,"28","74",739,"1217",183.5
"157263",270,377,"74","19",710,"2405",166.5
"1574623",270,4030,"74","24",4049,"2914",9.5
"1578539",90,4048,"7","74",4104,"770",28
"1582375",90,4051,"37","71",4078,"1967",13.5
"1582376",270,4053,"61","30",4065,"2238",6
"1582377",270,4056,"74","31",4070,"2446",7
"1586253",270,4068,"74","29",4086,"827",9
"1590119",90,4072,"18","62",4098,"933",13
"1590120",270,4074,"74","39",4089,"395",7.5
"1593977",90,4089,"31","57",4113,"2447",12
"1597855",270,4092,"71","50",4104,"1970",6
"1605606",90,4113,"56","69",4123,"2449",5
"1605608",90,4116,"9","74",4178,"1561",31
"1605610",90,4119,"29","74",4176,"828",28.5
"1609436",90,4120,"20","30",4132,"1058",6
"1613365",90,4130,"61","62",4131,"941",0.5
"1613367",90,4134,"68","74",4140,"2453",3
"1617247",90,4143,"61","62",4144,"943",0.5
"1617251",90,4145,"11","28",4165,"2589",10
"1617252",270,4147,"74","30",4161,"777",7
"1624988",90,4167,"24","58",4197,"2915",15
"1632786",270,4180,"58","37",4184,"2916",2
"1636649",270,4197,"74","39",4211,"1564",7
"1640540",270,4207,"74","30",4227,"829",10
"1644407",90,4214,"9","74",4263,"1627",24.5
"1644408",90,4218,"37","53",4237,"2917",9.5
"1656034",270,4243,"53","29",4250,"2918",3.5
"1663770",90,4264,"30","34",4266,"830",1
"168850",90,401,"17","25",420,"1457",9.5
"168853",270,404,"71","3",723,"1934",159.5
"168855",270,406,"74","44",419,"2266",6.5
"172747",270,414,"62","30",720,"2357",153
"176613",270,420,"25","11",427,"1458",3.5
"176614",90,423,"44","62",437,"2267",7
"18039",270,15,"55","33",21,"2641",3
"18040",90,18,"38","74",48,"742",15
"180477",270,435,"74","12",729,"1043",147
"192035",270,465,"74","11",741,"1551",138
"195886",90,470,"38","69",741,"2859",135.5
"195888",270,473,"29","9",483,"1150",5
"207522",90,505,"68","74",515,"2861",5
"215303",90,520,"15","36",539,"2812",9.5
"21896",270,25,"74","2",54,"524",14.5
"219154",90,532,"36","74",762,"2719",115
"219155",90,535,"19","74",783,"2406",124
"223011",270,546,"36","28",547,"2813",0.5
"226899",90,557,"61","74",570,"2273",6.5
"230830",90,567,"10","68",777,"526",105
"234721",270,570,"74","38",584,"2863",7
"238607",90,581,"2","74",795,"276",107
"250238",90,615,"28","74",800,"1221",92.5
"250241",90,617,"73","74",618,"2275",0.5
"254148",90,621,"67","74",630,"1857",4.5
"254151",90,628,"11","33",643,"2156",7.5
"25742",90,36,"37","73",66,"1843",15
"258042",90,631,"9","74",821,"2185",95
"265775",90,650,"67","74",658,"528",4
"265777",90,656,"71","74",659,"2408",1.5
"269645",90,662,"12","74",806,"2279",72
"281306",270,698,"74","10",799,"529",50.5
"285157",270,706,"74","11",810,"279",52
"285158",90,709,"29","62",807,"617",49
"292879",90,723,"16","74",856,"2864",66.5
"292880",270,725,"74","39",736,"1606",5.5
"292880",270,725,"74","39",737,"1606",6
"296751",270,735,"12","4",737,"1051",1
"296753",90,738,"39","74",848,"1607",55
"300575",270,747,"74","44",763,"2186",8
"304466",90,755,"61","74",777,"621",11
"304467",90,759,"37","59",827,"748",34
"308328",270,762,"74","29",825,"2349",31.5
"308329",270,765,"74","61",767,"622",1
"316186",90,785,"5","28",807,"2814",11
"323898",270,802,"74","29",833,"1222",15.5
"323899",270,804,"74","61",814,"2280",5
"323900",90,806,"71","74",807,"2866",0.5
"327786",90,819,"3","74",879,"1459",30
"327787",270,819,"28","3",827,"2815",4
"331653",90,825,"61","62",827,"2281",1
"331654",270,825,"71","13",858,"1937",16.5
"331658",270,829,"62","3",844,"624",7.5
"335505",90,833,"67","74",841,"2062",4
"339313",90,847,"71","74",850,"2868",1.5
"339314",270,848,"74","20",877,"2409",14.5
"343136",270,850,"62","33",860,"2226",5
"343138",90,853,"15","26",864,"890",5.5
"343139",270,857,"26","21",858,"891",0.5
"347010",270,862,"62","55",864,"1554",1
"350847",90,878,"55","74",896,"1555",9
"350848",90,879,"3","8",881,"2816",1
"354745",90,883,"20","74",937,"2410",27
"362516",270,904,"74","3",936,"1460",16
"37333",90,65,"10","74",141,"2352",38
"37334",270,65,"37","9",75,"356",5
"374137",90,930,"61","74",944,"2289",7
"374138",270,930,"69","31",948,"2064",9
"381859",90,951,"18","74",995,"1223",22
"381861",90,958,"3","30",987,"2582",14.5
"385737",90,962,"15","37",985,"365",11.5
"389573",270,974,"62","56",975,"2104",0.5
"389574",90,976,"56","58",978,"2105",1
"389575",270,977,"58","28",986,"2106",4.5
"393496",270,987,"74","10",1009,"2411",11
"397392",90,998,"38","68",1023,"751",12.5
"397393",270,998,"30","6",1006,"2583",4
"401239",90,1008,"3","32",1027,"1461",9.5
"408991",90,1024,"31","71",1089,"2065",32.5
"408992",270,1024,"32","7",1032,"1462",4
"41220",270,74,"74","44",85,"272",5.5
"41221",270,76,"74","39",91,"2253",7.5
"412835",270,1036,"74","49",1047,"2290",5.5
"416721",90,1045,"49","74",1065,"2291",10
"416722",90,1048,"10","74",1092,"2412",22
"424474",90,1069,"71","74",1072,"2871",1.5
"424475",270,1069,"71","19",1090,"2066",10.5
"428331",90,1071,"11","28",1090,"1152",9.5
"432200",90,1089,"73","74",1090,"446",0.5
"436111",90,1095,"56","71",1105,"1942",5
"436112",90,1096,"38","74",1124,"2650",14
"436113",270,1097,"74","3",1121,"447",12
"443819",90,1110,"20","74",1162,"296",26
"447680",90,1125,"69","71",1126,"1944",0.5
"447682",270,1128,"74","5",1157,"759",14.5
"45077",90,86,"13","20",89,"254",1.5
"45078",270,88,"73","39",103,"1844",7.5
"451483",270,1133,"74","29",1154,"1227",10.5
"459205",90,1150,"32","74",1183,"2817",16.5
"459206",90,1153,"11","28",1165,"1053",6
"466902",90,1172,"7","62",1229,"626",28.5
"466903",270,1173,"74","38",1184,"2651",5.5
"474574",90,1190,"29","74",1222,"1228",16
"474575",270,1190,"28","11",1197,"1054",3.5
"474576",270,1197,"74","61",1199,"2293",1
"482283",270,1210,"62","22",1222,"627",6
"486142",90,1224,"73","74",1225,"1230",0.5
"486143",270,1224,"74","19",1242,"297",9
"48924",270,98,"74","23",120,"2857",11
"489990",90,1237,"19","48",1265,"2067",14
"501656",270,1263,"48","28",1271,"2068",4
"509392",90,1284,"22","74",1334,"2876",25
"509393",90,1285,"56","68",1313,"2359",14
"517189",90,1302,"9","74",1354,"485",26
"521065",90,1310,"14","74",1375,"2721",32.5
"524882",270,1321,"74","19",1344,"2818",11.5
"528743",90,1335,"6","68",1388,"298",26.5
"540416",90,1360,"6","74",1445,"371",42.5
"544312",270,1370,"68","40",1380,"2360",5
"544313",90,1375,"61","62",1376,"2304",0.5
"544314",270,1377,"62","30",1391,"2305",7
"548190",270,1382,"20","11",1384,"1019",1
"555902",90,1405,"67","74",1413,"300",4
"555903",90,1408,"30","62",1426,"2306",9
"559784",90,1418,"57","74",1433,"1233",7.5
"56695",270,110,"74","40",120,"2353",5
"56696",90,112,"28","74",176,"2403",32
"56697",270,112,"20","8",115,"255",1.5
"567547",90,1432,"28","31",1434,"2038",1
"567548",270,1432,"74","37",1445,"372",6.5
"571444",270,1441,"74","18",1462,"486",10.5
"571444",270,1441,"74","18",1463,"486",11
"575270",90,1455,"15","55",1500,"2723",22.5
"579181",270,1467,"62","11",1483,"2307",8
"583062",270,1473,"74","29",1497,"1234",12
"583063",90,1479,"11","74",1524,"2308",22.5
"590744",90,1490,"5","23",1499,"155",4.5
"594615",90,1505,"9","20",1513,"1020",4
"594616",270,1505,"31","19",1508,"2039",1.5
"602348",90,1526,"29","74",1558,"1235",16
"602350",90,1527,"19","22",1528,"2040",0.5
"606231",90,1530,"37","74",1571,"2725",20.5
"621643",270,1573,"22","11",1579,"2041",3
"621644",90,1574,"3","68",1656,"2819",41
