"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"37333",4.5,90,15,65,"10","74",0,0,0,0,"2352"
"56696",6,90,15,112,"28","74",0,0,0,0,"2403"
"75921",7,90,15,162,"5","74",0,0,0,0,"2808"
"91434",4,90,15,207,"22","74",0,0,0,0,"273"
"95311",5.5,90,15,210,"19","62",0,0,0,0,"903"
"130172",3,90,10,304,"6","74",0,0,0,0,"2647"
"137868",3.5,90,15,325,"17","62",0,0,0,0,"2354"
"137870",3,90,15,329,"9","74",0,0,0,0,"1550"
"157261",4,90,8,372,"28","74",0,0,0,0,"1217"
"219155",4,90,15,535,"19","74",0,0,0,0,"2406"
"230830",3,90,15,567,"10","68",0,0,0,0,"526"
"238607",3,90,15,581,"2","74",0,0,0,0,"276"
"250238",3.5,90,15,615,"28","74",0,0,0,0,"1221"
"258042",4,90,15,631,"9","74",0,0,0,0,"2185"
"269645",2.5,90,15,662,"12","74",0,0,0,0,"2279"
"285158",3,90,15,709,"29","62",0,0,0,0,"617"
"292879",5,90,15,723,"16","74",0,0,0,0,"2864"
"327786",3,90,15,819,"3","74",0,0,0,0,"1459"
"354745",4,90,15,883,"20","74",0,0,0,0,"2410"
"381859",2.5,90,10,951,"18","74",0,0,0,0,"1223"
"416722",2.5,90,3,1048,"10","74",0,0,0,0,"2412"
"443819",3,90,15,1110,"20","74",0,0,0,0,"296"
"466902",4.5,90,15,1172,"7","62",0,0,0,0,"626"
"474574",2.5,90,12,1190,"29","74",0,0,0,0,"1228"
"489990",3.5,90,15,1237,"19","48",0,0,0,0,"2067"
"509392",4,90,13,1284,"22","74",0,0,0,0,"2876"
"517189",3.5,90,11,1302,"9","74",0,0,0,0,"485"
"521065",4,90,15,1310,"14","74",0,0,0,0,"2721"
"528743",3,90,15,1335,"6","68",0,0,0,0,"298"
"540416",5,90,15,1360,"6","74",0,0,0,0,"371"
"575270",5,90,15,1455,"15","55",0,0,0,0,"2723"
"583063",2.5,90,15,1479,"11","74",0,0,0,0,"2308"
"602348",2.5,90,15,1526,"29","74",0,0,0,0,"1235"
"621644",4.5,90,15,1574,"3","68",0,0,0,0,"2819"
"641003",5.5,90,12,1621,"11","55",0,0,0,0,"2042"
"641005",5,90,15,1624,"8","74",0,0,0,0,"1237"
"648753",3.5,90,15,1647,"19","74",0,0,0,0,"2878"
"687543",8,90,15,1744,"14","74",0,0,0,0,"2361"
"695319",5.5,90,15,1765,"14","57",0,0,0,0,"2652"
"741806",4.5,90,3,1889,"29","59",0,0,0,0,"2824"
"753433",4.5,90,15,1910,"8","48",0,0,0,0,"2414"
"772880",3,90,11,1960,"2","70",0,0,0,0,"2113"
"780603",3.5,90,14,1983,"11","74",0,0,0,0,"1557"
"780605",3.5,90,5,1986,"29","74",0,0,0,0,"2585"
"800022",5.5,90,15,2033,"11","74",0,0,0,0,"302"
"807791",2.5,90,15,2054,"9","73",0,0,0,0,"2886"
"827205",2.5,90,15,2102,"8","39",0,0,0,0,"2069"
"838862",4,90,11,2131,"29","74",0,0,0,0,"2420"
"842660",5.5,90,15,2149,"4","74",0,0,0,0,"1469"
"854197",3.5,90,15,2175,"25","74",0,0,0,0,"1242"
"873495",5.5,90,15,2222,"27","71",0,0,0,0,"1964"
"892849",4,90,15,2272,"2","74",0,0,0,0,"2658"
"985610",3.5,90,15,2519,"6","71",0,0,0,0,"2189"
"993391",4.5,90,15,2532,"17","74",0,0,0,0,"2332"
"1105648",6.5,90,15,2825,"26","74",0,0,0,0,"2339"
"1124997",2.5,90,15,2872,"11","48",0,0,0,0,"2835"
"1132733",3,90,15,2895,"29","74",0,0,0,0,"2735"
"1140500",5,90,15,2916,"28","74",0,0,0,0,"2431"
"1171364",3,90,13,2992,"11","74",0,0,0,0,"1619"
"1186869",4.5,90,15,3039,"24","61",0,0,0,0,"2888"
"1194535",2.5,90,15,3051,"10","58",0,0,0,0,"306"
"1198372",3.5,90,15,3063,"16","74",0,0,0,0,"1480"
"1217700",3.5,90,15,3111,"11","74",0,0,0,0,"2662"
"1225510",3.5,90,13,3137,"9","74",0,0,0,0,"642"
"1252620",4,90,11,3208,"11","74",0,0,0,0,"1258"
"1264333",2,90,15,3234,"5","74",0,0,0,0,"2739"
"1279730",3.5,90,11,3278,"26","71",0,0,0,0,"2212"
"1299156",2.5,90,9,3328,"27","38",0,0,0,0,"2350"
"1310749",4,90,15,3353,"27","74",0,0,0,0,"2666"
"1326317",4,90,15,3397,"19","74",0,0,0,0,"2343"
"1337936",4.5,90,9,3423,"18","74",0,0,0,0,"537"
"1357332",4,90,15,3473,"22","61",0,0,0,0,"2368"
"1365056",11,90,12,3497,"4","71",0,0,0,0,"1981"
"1376688",3.5,90,14,3520,"28","61",0,0,0,0,"2902"
"1384426",10.5,90,15,3541,"10","74",0,0,0,0,"1264"
"1411668",5.5,90,15,3617,"7","71",0,0,0,0,"511"
"1419449",5.5,90,15,3639,"10","74",0,0,0,0,"2904"
"1431081",4.5,90,15,3665,"3","68",0,0,0,0,"289"
"1438795",3,90,15,3686,"29","74",0,0,0,0,"540"
"1465880",3.5,90,14,3759,"17","74",0,0,0,0,"2438"
"1477485",3,90,15,3783,"9","62",0,0,0,0,"2370"
"1497071",4,90,15,3830,"11","74",0,0,0,0,"1621"
"1524165",3,90,15,3901,"9","74",0,0,0,0,"2741"
"1524166",3.5,90,15,3903,"23","48",0,0,0,0,"2850"
"1531956",6.5,90,12,3925,"11","74",0,0,0,0,"315"
"1578539",3,90,13,4048,"7","74",0,0,0,0,"770"
"1590119",2.5,90,7,4072,"18","62",0,0,0,0,"933"
"1605608",3,90,15,4116,"9","74",0,0,0,0,"1561"
"1605610",5.5,90,9,4119,"29","74",0,0,0,0,"828"
"1624988",3.5,90,15,4167,"24","58",0,0,0,0,"2915"
"1644407",2.5,90,15,4214,"9","74",0,0,0,0,"1627"
